% freeze,,,,,,,,,,,,,,,
Onset,  0.00, 60.00,120.00,180.00,240.00,300.00,360.00,420.00,,Threshold,,Bout duration,,Protocol,
Duration, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00,,,,,,,
OIcreS1,  0.00, 10.95,  9.71, 12.96,  1.12, 21.56, 44.87, 34.34,,164.06,,2.00,,charles conditioning,
OIcreS2,  0.00,  0.00,  2.79,  0.89,  5.36, 14.84, 15.29, 16.59,,104.17,,,,charles conditioning,
OIcreS3,  2.57,  8.94, 16.41,  7.04,  3.79, 17.75, 20.22, 15.08,,166.67,,,,charles conditioning,
OIcreS4,  1.12,  8.94,  6.93,  3.58,  0.00,  7.25, 25.59, 20.89,,208.33,,,,charles conditioning,
OIcreS5,  4.58, 13.28,  7.59, 13.85,  1.23, 18.77,  4.36,  8.61,,281.25,,,,charles conditioning,
OIcreS6,  2.68,  0.00,  6.14,  1.34,  1.57,  2.57,  5.26, 38.26,, 83.33,,,,charles conditioning,
OIcreS7,  0.00,  3.01,  2.68,  9.37, 11.05,  7.26, 25.56, 48.55,,164.06,,,,charles conditioning,
OIcreS8,  1.90,  5.59,  4.80,  1.12,  4.46,  7.37,  9.27, 33.89,,229.17,,,,charles conditioning,
OIcreS9,  2.46,  0.00,  3.58,  0.00,  5.80,  3.46, 27.01, 32.74,, 70.31,,,,charles conditioning,
OIcreS10,  0.00,  1.79,  5.36,  6.03,  2.91, 15.42,  7.37, 20.89,,937.50,,,,charles conditioning,
OIcreS11,  0.89,  2.79, 10.83,  3.68,  0.00,  6.81,  6.58, 26.93,,117.19,,,,charles conditioning,
OIcreS12,  0.00,  6.25,  1.90,  3.12,  4.24,  6.82,  7.37, 16.87,,117.19,,,,charles conditioning,
OIcreS13,  0.00, 10.83,  4.80,  8.83,  9.04,  6.70, 16.85, 14.99,,187.50,,,,charles conditioning,
OIcreS14,  0.00,  3.24,  0.00,  2.23,  1.00,  5.25,  7.25, 23.83,,164.06,,,,charles conditioning,
