% freeze,,,,,,,,,,,,,,,
Onset,  0.00, 60.00,120.00,180.00,240.00,300.00,360.00,420.00,,Threshold,,Bout duration,,Protocol,
Duration, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00,,,,,,,
OIcreS1c,  8.04, 15.18, 13.06,  2.12, 20.56,  3.46, 17.21,  9.27,, 23.44,,2.00,,Charles Context,
OIcreS2c, 18.86, 31.03, 51.28, 63.50, 17.88, 38.95, 22.79, 28.27,, 52.08,,,,Charles Context,
OIcreS3c,  5.58, 19.11, 41.07, 21.34,  8.48, 19.55,  9.26, 11.06,, 31.25,,,,Charles Context,
OIcreS4c,  1.01,  9.82, 11.28,  9.82,  1.90,  5.36,  7.15,  4.25,, 72.92,,,,Charles Context,
OIcreS5c,  1.90,  4.80,  4.13, 11.62, 13.06,  8.71,  8.72,  6.49,, 93.75,,,,Charles Context,
OIcreS6c,  2.57, 10.27, 41.07, 31.51,  6.47,  4.36,  3.35, 14.41,,  0.00,,,,Charles Context,
OicreS5t,  0.00,  2.79, 12.40, 11.27,  4.13, 16.87,  7.91,  7.91,,1125.00,,,,Charles Tone,
OicreS6t,  1.01, 13.06,  2.12,  9.15,  3.12,  0.00,  4.75,  4.75,,1000.00,,,,Charles Tone,
OIcreS7c, 27.79, 51.28, 62.83, 59.55, 66.52, 79.02, 84.80, 51.40,,  0.00,,,,Charles Context,
OIcreS8c,  0.00, 15.40, 11.40,  9.37, 22.35, 24.00, 13.07, 17.43,,  0.00,,,,Charles Context,
OIcreS9c,  0.56, 15.07, 14.19, 12.05,  6.59,  6.70,  8.37, 20.11,, 23.44,,,,Charles Context,
OIcreS10c,  9.37,  7.92, 16.54, 19.22,  8.59, 14.19, 14.06,  9.72,, 20.83,,,,Charles Context,
OIcreS11c,  6.81, 22.79, 30.13, 56.54, 57.48, 38.44, 18.30, 11.30,, 23.44,,,,Charles Context,
OIcreS12c,  0.89,  3.35, 24.80, 11.94, 16.65, 25.45, 14.53, 10.28,, 36.46,,,,Charles Context,
OIcreS13c, 10.60,  7.71, 10.60, 10.39, 15.40,  7.71,  7.70, 20.92,,109.37,,,,Charles Context,
OIcreS14c,  2.34, 19.66, 33.04, 30.61, 27.68, 14.30, 12.17,  7.27,, 45.57,,,,Charles Context,
