% freeze,,,,,,,,,,,,,,,
Onset,  0.00, 60.00,120.00,180.00,240.00,300.00,360.00,420.00,,Threshold,,Bout duration,,Protocol,
Duration, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00,,,,,,,
OIcreS1t,  0.00,  1.56,  0.00, 26.96,  1.12, 19.66,  8.21,  8.21,,164.06,,2.00,,Charles Tone,
OIcreS2t,  0.00,  0.00,  0.00, 43.91,  0.00, 13.98,  9.66,  9.66,, 23.44,,,,Charles Tone,
OIcreS3t,  0.00,  3.57,  0.00,  4.13,  2.68, 10.18,  3.42,  3.42,,395.83,,,,Charles Tone,
OIcreS4t,  1.01,  7.37,  0.89, 12.29,  1.79, 11.96,  5.88,  5.88,,1083.33,,,,Charles Tone,
OIcreS7t,  0.00,  0.00,  0.00, 56.58,  3.24, 35.08, 15.82, 15.82,,  1.00,,,,Charles Tone,
OIcreS8t,  0.00,  0.00,  0.00,  0.89,  0.00,  1.34,  0.37,  0.37,,  1.00,,,,Charles Tone,
OIcreS9t,  0.00,  0.00,  0.00, 11.28,  0.89, 10.06,  3.70,  3.70,,104.17,,,,Charles Tone,
OIcreS10t,  0.00,  0.00,  0.33,  9.61,  1.90, 29.31,  6.87,  6.87,,164.06,,,,Charles Tone,
OIcreS11tt,  0.00,  0.00,  0.00, 25.47,  0.89, 11.62,  6.33,  6.33,,104.17,,,,Charles Tone,
OIcreS12t,  0.00,  0.00,  0.00, 34.60,  0.00, 17.79,  8.73,  8.73,, 20.83,,,,Charles Tone,
OIcreS13t,  2.16,  9.39,  0.11, 10.38, 19.31,  4.58,  7.72,  7.72,,1250.00,,,,Charles Tone,
OIcreS14t,  0.00,  1.00,  0.00, 14.96,  1.34,  9.94,  4.54,  4.54,,145.83,,,,Charles Tone,
